time_s,current_meas_a,terminal_meas_v,soc_est_percent,soc_raw_from_poly,ocv_pack_est_v,terminal_est_v,v1_est_v,power_est_w,dcir_drop_est_v,innovation_v,var_soc,var_v1
1,20.478386,54.941247,83.754565,21033.034716,55.989238,54.941264,0.25669,1125.108414,1.318808,-0.009752,1.15104e-05,0.0008584872
2,20.483303,54.852032,83.88771,21041.616584,56.011957,54.831838,0.388645,1123.137151,1.319125,0.043835,6.1389e-06,0.0004262603
3,20.480862,54.673299,83.680702,21028.273802,55.976637,54.727064,0.458192,1120.857451,1.318968,-0.089993,4.1522e-06,0.0003104154
4,20.549848,54.698991,83.692336,21029.023648,55.978621,54.692162,0.492413,1123.915624,1.32341,0.010259,3.1334e-06,0.0002758208
5,18.767456,54.786347,83.717697,21030.658371,55.982948,54.770853,0.486921,1027.90957,1.208624,0.021898,2.5295e-06,0.0002632882
6,18.834845,54.839556,83.79795,21035.8311,55.996641,54.787001,0.481862,1031.904665,1.212964,0.071412,2.139e-06,0.0002575691
7,18.898495,54.786866,83.798373,21035.858315,55.996713,54.782562,0.483913,1035.307976,1.217063,0.005693,1.8708e-06,0.0002543794
8,18.689252,54.730127,83.735168,21031.784424,55.985929,54.776974,0.486802,1023.740677,1.203588,-0.060784,1.6787e-06,0.0002523342
9,18.836951,54.845707,83.794524,21035.610224,55.996056,54.787368,0.480828,1032.026975,1.2131,0.074629,1.5367e-06,0.000250905
10,18.806249,54.774012,83.779382,21034.634241,55.993473,54.78336,0.483439,1030.269517,1.211122,-0.011833,1.429e-06,0.0002498551
11,16.079766,54.849196,83.719353,21030.76506,55.983231,54.906856,0.455052,882.889401,1.035537,-0.072388,1.346e-06,0.0002490569
12,15.953158,54.963636,83.737353,21031.925287,55.986302,54.938598,0.431274,876.444132,1.027383,0.031234,1.2811e-06,0.0002484361
13,16.131011,54.935547,83.730474,21031.481906,55.985128,54.937983,0.423843,886.205208,1.038837,-0.003024,1.2297e-06,0.0002479475
14,16.05649,54.963941,83.738505,21031.999538,55.986498,54.948644,0.417431,882.28236,1.034038,0.018911,1.1886e-06,0.000247558
15,15.117349,54.94873,83.701795,21029.63338,55.980235,54.988546,0.407554,831.281048,0.973557,-0.049069,1.1556e-06,0.0002472453
16,15.085238,54.935599,83.657107,21026.752983,55.972612,54.986569,0.403149,829.485486,0.971489,-0.062653,1.1289e-06,0.0002469919
17,14.607008,54.984172,83.631867,21025.126097,55.968306,55.011251,0.39264,803.549778,0.940691,-0.033215,1.1072e-06,0.0002467857
18,14.862628,55.059588,83.661083,21027.009291,55.97329,55.015322,0.383676,817.672269,0.957153,0.054205,1.0895e-06,0.0002466176
19,18.89964,54.760464,83.626302,21024.76743,55.967357,54.799479,0.437595,1035.690435,1.217137,-0.04771,1.075e-06,0.0002464807
20,18.927104,54.74644,83.604541,21023.36484,55.963645,54.768308,0.463993,1036.605466,1.218905,-0.026711,1.0631e-06,0.0002463679
21,18.787063,54.768626,83.602328,21023.222205,55.963267,54.764064,0.473271,1028.855928,1.209887,0.005567,1.0534e-06,0.0002462751
22,18.817163,54.817,83.632857,21025.189941,55.968475,54.767283,0.474096,1030.5649,1.211825,0.060623,1.0454e-06,0.0002461988
23,18.895762,54.789377,83.646349,21026.059564,55.970776,54.762919,0.477725,1034.787077,1.216887,0.032243,1.0387e-06,0.0002461364
24,18.897492,54.793198,83.661785,21027.054506,55.97341,54.763876,0.479335,1034.899905,1.216998,0.035714,1.0332e-06,0.0002460849
25,18.705952,54.731603,83.634281,21025.28168,55.968718,54.762404,0.483515,1024.382908,1.204663,-0.0375,1.0287e-06,0.0002460424
26,18.729505,54.791052,83.64626,21026.053851,55.970761,54.766406,0.480647,1025.747682,1.20618,0.029994,1.025e-06,0.0002460068
27,11.962483,55.23003,83.711901,21030.284777,55.981959,55.132373,0.387356,659.520074,0.770384,0.118817,1.0219e-06,0.0002459775
28,11.877106,55.101338,83.665792,21027.312774,55.974093,55.161635,0.353527,655.160581,0.764886,-0.073344,1.0193e-06,0.000245954
29,12.115271,55.249178,83.706952,21029.96577,55.981115,55.185703,0.327278,668.589746,0.780223,0.077194,1.0171e-06,0.0002459337
30,12.075854,55.230776,83.724373,21031.088625,55.984087,55.200944,0.316532,666.598537,0.777685,0.036274,1.0154e-06,0.0002459173
31,12.213952,55.189585,83.717105,21030.620171,55.982847,55.194793,0.316107,674.146554,0.786579,-0.006332,1.0139e-06,0.0002459038
32,11.786556,55.17011,83.686682,21028.659257,55.977657,55.208509,0.313716,650.718181,0.759054,-0.046679,1.0127e-06,0.0002458923
33,12.142934,55.125482,83.643262,21025.860593,55.97025,55.182322,0.318725,670.075296,0.782005,-0.069089,1.0117e-06,0.0002458824
34,12.00503,55.210523,83.650583,21026.332449,55.971499,55.195,0.312625,662.617626,0.773124,0.018867,1.0108e-06,0.0002458739
35,11.952661,55.233848,83.667273,21027.408225,55.974346,55.204943,0.307552,659.845968,0.769751,0.035129,1.0102e-06,0.0002458672
36,12.087117,55.313342,83.730476,21031.482006,55.985128,55.217841,0.300241,667.424502,0.77841,0.116059,1.0096e-06,0.0002458619
37,12.092995,55.166305,83.700899,21029.575594,55.980082,55.203511,0.309298,667.575781,0.778789,-0.045213,1.0091e-06,0.0002458582
38,11.91573,55.154647,83.665037,21027.264118,55.973964,55.200942,0.312599,657.75952,0.767373,-0.056256,1.0087e-06,0.0002458544
39,12.142841,55.167308,83.647571,21026.138347,55.970985,55.187181,0.314604,670.12917,0.781999,-0.024148,1.0084e-06,0.0002458508
40,11.989461,55.232524,83.665411,21027.288251,55.974028,55.201892,0.308863,661.840936,0.772121,0.03722,1.0081e-06,0.0002458479
41,11.891481,55.179779,83.646655,21026.079325,55.970829,55.201618,0.309724,656.428987,0.765811,-0.026535,1.0079e-06,0.0002458458
42,11.723807,55.139737,83.602116,21023.208494,55.963231,55.198604,0.311619,647.137777,0.755013,-0.071524,1.0077e-06,0.0002458439
43,11.91484,55.214046,83.610733,21023.763942,55.964701,55.196646,0.307665,657.659207,0.767316,0.021141,1.0076e-06,0.0002458418
44,12.179024,55.191731,83.61222,21023.859779,55.964954,55.18444,0.309917,672.092617,0.784329,0.008859,1.0074e-06,0.0002458405
45,12.039205,55.200448,83.615158,21024.049172,55.965456,55.191134,0.309127,664.45738,0.775325,0.011316,1.0073e-06,0.0002458395
46,12.162711,55.236113,83.641643,21025.756228,55.969974,55.192984,0.307022,671.296313,0.783279,0.0524,1.0073e-06,0.0002458388
47,12.041054,55.140293,83.606371,21023.482809,55.963957,55.185767,0.312923,664.494804,0.775444,-0.05525,1.0072e-06,0.0002458385
48,12.135508,55.209288,83.618643,21024.273791,55.96605,55.186546,0.310588,669.716774,0.781527,0.02763,1.0071e-06,0.0002458376
49,12.184041,55.188135,83.618297,21024.251499,55.965991,55.183467,0.311732,672.35763,0.784652,0.005671,1.0071e-06,0.0002458372
50,12.292965,55.171082,83.611706,21023.82663,55.964867,55.175326,0.314541,678.268349,0.791667,-0.005156,1.0071e-06,0.0002458368
51,12.238959,55.194177,83.618269,21024.249665,55.965986,55.179576,0.313497,675.340572,0.788189,0.017739,1.007e-06,0.0002458365
52,11.92256,55.131394,83.578645,21021.695692,55.959227,55.183172,0.315367,657.924684,0.767813,-0.062907,1.007e-06,0.0002458363
53,11.977345,55.258377,83.617914,21024.226791,55.965926,55.196973,0.306148,661.113186,0.771341,0.074601,1.007e-06,0.0002458356
54,12.122456,55.22105,83.633427,21025.22669,55.968572,55.193661,0.3065,669.082723,0.780686,0.033276,1.007e-06,0.0002458357
55,11.643619,55.22155,83.633878,21025.255764,55.968649,55.215968,0.302772,642.913692,0.749849,0.006782,1.0069e-06,0.0002458359
56,12.083378,55.1579,83.609459,21023.681798,55.964483,55.187805,0.309777,666.855108,0.77817,-0.036332,1.0069e-06,0.0002458359
57,11.905892,55.184676,83.599694,21023.052393,55.962818,55.193636,0.309138,657.129472,0.766739,-0.010886,1.0069e-06,0.0002458356
58,12.258731,55.131432,83.570412,21021.165008,55.957823,55.16824,0.315906,676.29261,0.789462,-0.044718,1.0069e-06,0.0002458353
59,11.935829,55.251671,83.605586,21023.432181,55.963823,55.196153,0.30647,658.811842,0.768667,0.06745,1.0069e-06,0.0002458348
60,11.933077,55.164765,83.584592,21022.07897,55.960242,55.189822,0.309326,658.584391,0.76849,-0.030442,1.0069e-06,0.000245835
61,20.514666,54.684897,83.540847,21019.259408,55.95278,54.738952,0.421141,1122.951322,1.321144,-0.065672,1.0069e-06,0.0002458348
62,20.532992,54.630747,83.503789,21016.870789,55.94646,54.675207,0.477858,1122.645588,1.322325,-0.054014,1.0069e-06,0.0002458342
63,20.63278,54.662269,83.508053,21017.14564,55.947187,54.647404,0.502532,1127.527865,1.328751,0.018059,1.0069e-06,0.0002458336
64,20.842515,54.6607,83.52437,21018.197397,55.94997,54.628454,0.516161,1138.594382,1.342258,0.039175,1.007e-06,0.0002458334
65,19.004853,54.660141,83.489317,21015.938016,55.943991,54.70237,0.507274,1039.6105,1.223913,-0.051304,1.007e-06,0.0002458336
66,18.781679,54.747653,83.498795,21016.548912,55.945608,54.726094,0.49379,1027.847929,1.20954,0.026192,1.007e-06,0.0002458333
67,19.061858,54.650168,83.455591,21013.764218,55.93824,54.704066,0.497623,1042.761143,1.227584,-0.06548,1.007e-06,0.0002458334
68,18.948593,54.764716,83.480172,21015.348554,55.942432,54.721418,0.48884,1036.893879,1.220289,0.052602,1.007e-06,0.000245833
69,19.030032,54.770786,83.505614,21016.988417,55.946771,54.726221,0.48523,1041.44173,1.225534,0.054142,1.007e-06,0.0002458331
70,18.807811,54.708633,83.485374,21015.683861,55.943319,54.729694,0.486891,1029.345736,1.211223,-0.025587,1.007e-06,0.0002458335
71,15.812773,54.887223,83.482932,21015.526472,55.942903,54.884023,0.447874,867.868591,1.018343,0.003888,1.007e-06,0.0002458335
72,15.971245,54.995809,83.536151,21018.956698,55.951979,54.912694,0.422156,877.024091,1.028548,0.100976,1.007e-06,0.0002458335
73,15.908346,54.919327,83.530871,21018.616398,55.951079,54.920157,0.416223,873.688862,1.024497,-0.001009,1.007e-06,0.0002458341
74,15.76465,54.887512,83.501923,21016.750538,55.946141,54.922354,0.414641,865.831691,1.015243,-0.04233,1.007e-06,0.0002458343
75,15.039172,55.001358,83.519557,21017.887179,55.949149,54.969686,0.39835,826.698559,0.968523,0.038479,1.007e-06,0.000245834
76,15.217215,54.964893,83.514924,21017.58853,55.948359,54.965089,0.395277,836.415577,0.979989,-0.000238,1.007e-06,0.0002458341
77,14.832413,54.993189,83.514878,21017.585581,55.948351,54.986967,0.388259,815.589406,0.955207,0.007559,1.007e-06,0.0002458341
78,15.077548,54.996152,83.521603,21018.019002,55.949498,54.980114,0.386787,828.965315,0.970994,0.019484,1.007e-06,0.000245834
79,18.694957,54.83387,83.539375,21019.164479,55.952529,54.800452,0.429704,1024.492087,1.203955,0.0406,1.007e-06,0.0002458341
80,18.813184,54.787324,83.544783,21019.51308,55.953452,54.771591,0.454919,1030.428029,1.211569,0.019114,1.007e-06,0.0002458343
81,18.991111,54.769569,83.552079,21019.98339,55.954696,54.751053,0.469827,1039.783316,1.223028,0.022496,1.007e-06,0.0002458345
82,18.842977,54.839492,83.598867,21022.999074,55.962677,54.764392,0.470192,1031.924178,1.213488,0.09124,1.007e-06,0.0002458346
83,18.836555,54.71287,83.568336,21021.031204,55.957469,54.748678,0.480947,1031.276477,1.213074,-0.043504,1.007e-06,0.0002458351
84,18.816795,54.799197,83.592924,21022.616021,55.961663,54.755951,0.478631,1030.331501,1.211802,0.052541,1.007e-06,0.000245835
85,18.817807,54.749227,83.585779,21022.155493,55.960444,54.751499,0.481825,1030.303143,1.211867,-0.00276,1.007e-06,0.0002458351
86,18.97936,54.696229,83.554564,21020.143545,55.95512,54.732959,0.488798,1038.796542,1.222271,-0.044624,1.007e-06,0.0002458351
87,11.741015,55.084,83.540346,21019.227114,55.952695,55.099418,0.399604,646.923096,0.756121,-0.018732,1.007e-06,0.0002458347
88,12.03446,55.081668,83.508445,21017.170901,55.947254,55.122331,0.359912,663.367482,0.775019,-0.049401,1.007e-06,0.0002458344
89,12.130663,55.16425,83.518155,21017.79678,55.94891,55.145177,0.335004,668.94756,0.781215,0.023172,1.007e-06,0.0002458339
90,11.850751,55.170683,83.515125,21017.601456,55.948393,55.170006,0.320474,653.806009,0.763188,0.000822,1.007e-06,0.0002458338
91,11.970584,55.075923,83.457226,21013.869553,55.938518,55.153908,0.322067,660.224484,0.770906,-0.094743,1.007e-06,0.0002458338
92,12.067943,55.150241,83.450937,21013.464219,55.937446,55.154147,0.316994,665.597098,0.777176,-0.004745,1.007e-06,0.0002458331
93,11.888208,55.179601,83.455385,21013.750934,55.938205,55.168179,0.310665,655.850792,0.765601,0.013876,1.007e-06,0.0002458329
94,12.073214,55.124772,83.431458,21012.208687,55.934124,55.15398,0.313635,665.885804,0.777515,-0.035484,1.007e-06,0.0002458329
95,12.060053,55.204208,83.455941,21013.78674,55.938299,55.163971,0.308328,665.280416,0.776667,0.048883,1.0071e-06,0.0002458326
96,11.8931,55.172105,83.453188,21013.609312,55.93783,55.171012,0.307268,656.154364,0.765916,0.001328,1.0071e-06,0.0002458329
97,12.000413,55.265865,83.507313,21017.097937,55.947061,55.183133,0.300232,662.220389,0.772827,0.10051,1.0071e-06,0.000245833
98,11.720655,55.186779,83.50055,21016.662025,55.945907,55.191512,0.301509,646.880667,0.75481,-0.00575,1.0071e-06,0.0002458337
99,11.954063,55.146429,83.478464,21015.238455,55.94214,55.173043,0.307192,659.542037,0.769842,-0.032334,1.0071e-06,0.0002458339
100,12.285238,55.15042,83.47214,21014.830848,55.941062,55.154284,0.312076,677.583505,0.791169,-0.004694,1.0071e-06,0.0002458337
101,12.336142,55.128144,83.456573,21013.827483,55.938407,55.145246,0.316493,680.27958,0.794448,-0.020777,1.0071e-06,0.0002458336
102,12.052577,55.125108,83.433838,21012.362084,55.93453,55.152613,0.316205,664.731117,0.776186,-0.033416,1.0071e-06,0.0002458333
103,11.896397,55.152172,83.424228,21011.742655,55.932891,55.160916,0.312299,656.216153,0.766128,-0.010623,1.0071e-06,0.000245833
104,11.957614,55.158569,83.419858,21011.461029,55.932146,55.159768,0.310336,659.579214,0.77007,-0.001457,1.0071e-06,0.0002458328
105,11.684246,55.247964,83.458677,21013.96308,55.938766,55.187322,0.299964,644.822251,0.752465,0.073673,1.0071e-06,0.0002458327
106,11.97495,55.234381,83.491308,21016.066347,55.944331,55.182495,0.299124,660.80762,0.771187,0.063036,1.0071e-06,0.0002458332
107,11.848933,55.161258,83.474873,21015.00705,55.941528,55.17981,0.303875,653.821872,0.763071,-0.022539,1.0071e-06,0.0002458337
108,12.474741,55.10254,83.445964,21013.143654,55.936598,55.138722,0.315852,687.841278,0.803373,-0.043958,1.0071e-06,0.0002458337
109,11.775705,55.118097,83.411999,21010.954462,55.930806,55.161829,0.313963,649.569427,0.758355,-0.053129,1.0071e-06,0.0002458334
110,12.070873,55.179484,83.424612,21011.767445,55.932957,55.156272,0.310266,665.784351,0.777364,0.0282,1.0071e-06,0.0002458329
111,12.193555,55.131362,83.410861,21010.88109,55.930612,55.14592,0.313532,672.424811,0.785265,-0.017687,1.0071e-06,0.0002458329
112,11.759662,55.121857,83.381339,21008.978227,55.925577,55.159224,0.31196,648.653825,0.757322,-0.045396,1.0071e-06,0.0002458327
113,12.186033,55.166287,83.39214,21009.674428,55.927419,55.145625,0.310926,672.0064,0.784781,0.025102,1.0072e-06,0.0002458324
114,11.706459,55.140646,83.372915,21008.435274,55.924141,55.163264,0.30854,645.766485,0.753896,-0.027478,1.0072e-06,0.0002458324
115,12.209725,55.248122,83.431177,21012.190539,55.934076,55.159363,0.302929,673.480656,0.786306,0.107831,1.0072e-06,0.0002458322
116,12.084253,55.156655,83.425953,21011.853894,55.933185,55.159025,0.307225,666.555611,0.778226,-0.002879,1.0072e-06,0.0002458328
117,11.813969,55.098423,83.381229,21008.971121,55.925558,55.157573,0.311494,651.629853,0.76082,-0.07186,1.0072e-06,0.0002458331
118,12.007037,55.16514,83.386038,21009.28109,55.926379,55.153151,0.309276,662.22592,0.773253,0.014566,1.0072e-06,0.0002458326
119,12.087028,55.115465,83.363548,21007.831513,55.922544,55.142604,0.312897,666.510202,0.778405,-0.032971,1.0072e-06,0.0002458325
120,11.827209,55.099882,83.327825,21005.528952,55.916452,55.146117,0.313332,652.22465,0.761672,-0.056169,1.0072e-06,0.0002458323
121,20.326454,54.734927,83.333616,21005.90221,55.91744,54.718001,0.414024,1112.222933,1.309024,0.020563,1.0072e-06,0.0002458318
122,20.153158,54.630359,83.303463,21003.958713,55.912298,54.665073,0.468507,1101.673856,1.297863,-0.042173,1.0072e-06,0.0002458317
123,20.567482,54.694006,83.340882,21006.370549,55.918679,54.631602,0.492349,1123.634497,1.324546,0.075812,1.0073e-06,0.0002458314
124,20.510695,54.652518,83.356209,21007.358476,55.921292,54.621836,0.506923,1120.331812,1.320889,0.037275,1.0073e-06,0.0002458317
125,18.740149,54.64388,83.317856,21004.886405,55.914753,54.690954,0.499679,1024.916636,1.206866,-0.057189,1.0073e-06,0.0002458321
126,18.698841,54.763659,83.348646,21006.87101,55.920003,54.71156,0.48592,1023.042753,1.204205,0.063294,1.0073e-06,0.0002458318
127,18.949133,54.71438,83.351379,21007.047175,55.920469,54.702427,0.485847,1036.563558,1.220324,0.014522,1.0073e-06,0.0002458321
128,19.29954,54.689328,83.349645,21006.935365,55.920173,54.683635,0.490804,1055.369003,1.24289,0.006916,1.0073e-06,0.0002458322
129,18.893052,54.706344,83.347476,21006.795571,55.919803,54.701446,0.488329,1033.477268,1.216713,0.00595,1.0073e-06,0.0002458323
130,18.766717,54.806322,83.398482,21010.083189,55.928501,54.725198,0.478157,1027.012297,1.208577,0.098556,1.0073e-06,0.0002458323
131,16.225991,54.763276,83.342869,21006.498609,55.919017,54.83617,0.455875,889.771203,1.044954,-0.088558,1.0073e-06,0.0002458329
132,15.940023,54.872011,83.340208,21006.327086,55.918564,54.869071,0.43357,874.614256,1.026537,0.003572,1.0073e-06,0.0002458325
133,16.117477,54.791684,83.290308,21003.110802,55.910056,54.856435,0.430841,884.147327,1.037966,-0.078663,1.0073e-06,0.0002458323
134,15.661666,54.767766,83.217504,20998.41822,55.897643,54.865575,0.426901,859.286316,1.008611,-0.118823,1.0073e-06,0.0002458316
135,14.989333,54.910799,83.213166,20998.138596,55.896904,54.910668,0.407048,823.07429,0.965313,0.000159,1.0073e-06,0.0002458306
136,15.051783,54.884416,83.190084,20996.650827,55.892969,54.911151,0.400217,826.510728,0.969335,-0.032478,1.0074e-06,0.0002458302
137,14.816364,54.824944,83.126278,20992.538186,55.882092,54.910209,0.399378,813.569646,0.954174,-0.103582,1.0074e-06,0.0002458299
138,15.049378,54.945872,83.144623,20993.720584,55.885219,54.913169,0.390542,826.409031,0.96918,0.039728,1.0074e-06,0.0002458292
139,18.948949,54.772541,83.17258,20995.522597,55.889985,54.724396,0.433402,1036.96978,1.220312,0.058488,1.0075e-06,0.0002458292
140,18.771393,54.775597,83.207018,20997.742285,55.895855,54.718233,0.452296,1027.137454,1.208878,0.069688,1.0075e-06,0.0002458296
141,18.779545,54.661865,83.178633,20995.912741,55.891017,54.694623,0.470751,1027.140142,1.209403,-0.039796,1.0075e-06,0.0002458302
142,18.721913,54.658414,83.154805,20994.376915,55.886955,54.684661,0.478879,1023.801459,1.205691,-0.031885,1.0075e-06,0.0002458302
143,18.475139,54.691286,83.147384,20993.898546,55.88569,54.694101,0.477709,1010.481114,1.189799,-0.003419,1.0075e-06,0.00024583
144,18.837483,54.662748,83.134512,20993.068896,55.883495,54.673229,0.482387,1029.906013,1.213134,-0.012732,1.0075e-06,0.0002458299
145,18.692924,54.697651,83.140097,20993.428874,55.884447,54.681713,0.480439,1022.161113,1.203824,0.019361,1.0075e-06,0.0002458297
146,19.057531,54.679588,83.144807,20993.732447,55.88525,54.664752,0.484116,1041.775199,1.227305,0.018024,1.0076e-06,0.0002458298
147,11.923855,54.995259,83.123701,20992.372113,55.881653,55.020482,0.400433,656.056248,0.767896,-0.030642,1.0076e-06,0.0002458299
148,11.989537,55.004634,83.087299,20990.025761,55.875448,55.051775,0.360397,660.045298,0.772126,-0.057269,1.0076e-06,0.0002458298
149,11.981211,55.092735,83.09297,20990.391307,55.876414,55.079519,0.333942,659.919333,0.77159,0.016056,1.0076e-06,0.0002458294
